Flip Test is used --- False
Turning on evaluation mode...
Loading weight ... TrainedModels/Baseline_alt.pth
Using metric-base binary for evaluation!
Video level evaluation mode: True
Dataset loading time --- 33.268240451812744
Inferencing time --- 1174.12020945549
Inferencing time --- 1179.5402817726135
Inferencing time --- 1179.7004103660583
Inferencing time --- 1179.847645998001
Inferencing time --- 1184.0707132816315
Inferencing time --- 1184.235435962677
Inferencing time --- 1184.3682577610016
Inferencing time --- 1184.5004863739014
Inferencing time --- 1191.3743205070496
Inferencing time --- 1191.5296919345856
Inferencing time --- 1191.674819469452
Inferencing time --- 1193.6395738124847
Inferencing time --- 1193.7664587497711
Inferencing time --- 1193.9004640579224
Inferencing time --- 1194.0308363437653
Inferencing time --- 1201.1390223503113
Inferencing time --- 1201.30228972435
Inferencing time --- 1201.43962931633
Inferencing time --- 1204.0397384166718
Inferencing time --- 1204.2011103630066
Inferencing time --- 1204.3521747589111
Inferencing time --- 1204.4840195178986
Inferencing time --- 1211.5695395469666
Inferencing time --- 1211.7347314357758
Inferencing time --- 1211.8688957691193
Inferencing time --- 1215.7524502277374
Inferencing time --- 1215.9205870628357
Inferencing time --- 1216.0617456436157
Inferencing time --- 1216.193196296692
Inferencing time --- 1221.2368123531342
Inferencing time --- 1221.3991684913635
Inferencing time --- 1221.5332419872284
Inferencing time --- 1225.3872804641724
Inferencing time --- 1225.5555384159088
Inferencing time --- 1225.6972436904907
Inferencing time --- 1225.8303666114807
Inferencing time --- 1231.2630820274353
Inferencing time --- 1231.427238225937
Inferencing time --- 1231.5574750900269
Inferencing time --- 1235.4932231903076
Inferencing time --- 1235.6584527492523
Inferencing time --- 1235.7849352359772
Inferencing time --- 1235.9189064502716
Inferencing time --- 1242.8453102111816
Inferencing time --- 1243.012570142746
Inferencing time --- 1243.1557545661926
Inferencing time --- 1245.8393125534058
Inferencing time --- 1246.0080506801605
Inferencing time --- 1246.15828871727
Inferencing time --- 1246.284415960312
Inferencing time --- 1253.1672098636627
